student_id,first_name,last_name,date_of_birth,nationality,domicile,programme_code,programme_name,enrolment_status,fee_status,enrolment_date,expected_end_date
SRS00032,William,Omar,2003-08-27,GBR,England,BA_ENG,BA English Literature,Active,Home,2024-09-28,2028-06-30
SRS00033,Lily,Patel,2007-06-05,MYS,Overseas,BA_ENG,BA English Literature,Active,Overseas,2022-09-28,2025-06-30
SRS00034,Niamh,Kumar,1996-03-27,DEU,Overseas,MBA,MBA Business Administration,Active,Overseas,2022-09-21,2025-06-30
SRS00035,Freya,White,2006-10-01,GBR,England,MSC_DATA,MSc Data Science,Active,Home,2024-09-25,2027-06-30
SRS00036,Leon,Islam,1991-07-21,GBR,England,MBA,MBA Business Administration,Suspended,Home,2023-09-27,2026-06-30
SRS00037,Nadia,Evans,1994-10-08,GBR,England,BA_ENG,BA English Literature,Active,Home,2022-09-28,2025-06-30
SRS00038,Sebastian,Price,1996-01-14,USA,Overseas,BSC_MATHS,BSc Mathematics,Active,Overseas,2023-09-20,2027-06-30
SRS00039,Noah,Jackson,2004-12-25,CHN,Overseas,BSC_BUS,BSc Business Management,Deferred,Overseas,2025-09-25,2029-06-30
SRS00040,Kai,Hussein,2002-12-22,ITA,Overseas,BA_ENG,BA English Literature,Active,Overseas,2025-09-17,2028-06-30
SRS00041,Rhys,Nielsen,1990-04-10,GBR,England,BSC_BUS,BSc Business Management,Active,Home,2024-09-17,2028-06-30
SRS00042,Edward,Warsame,2003-02-05,GBR,England,BSC_COMPSCI,BSc Computer Science,Active,Home,2022-09-27,2026-06-30
SRS00043,Niamh,Walker,2007-04-11,GBR,England,BSC_BUS,BSc Business Management,Active,Home,2025-09-17,2029-06-30
SRS00044,Sophia,Cox,1999-09-20,DEU,Overseas,BSC_MATHS,BSc Mathematics,Active,Overseas,2024-09-20,2027-06-30
SRS00045,Jasmine,Reid,2004-04-23,MYS,Overseas,MSC_DATA,MSc Data Science,Active,Overseas,2023-09-20,2027-06-30
SRS00046,Yasmin,Evans,1991-06-27,GBR,England,BSC_BUS,BSc Business Management,Active,Home,2024-09-29,2027-06-30
SRS00047,Chloe,Graham,2003-08-16,GBR,England,BA_HIST,BA History,Active,Home,2022-09-25,2026-06-30
SRS00048,Alfie,Kumar,2000-09-01,GBR,Northern Ireland,MENG_CIVIL,MEng Civil Engineering,Active,Home,2022-09-28,2026-06-30
SRS00049,Isabella,Ibrahim,2003-05-18,CHN,Overseas,BA_ENG,BA English Literature,Active,Overseas,2022-09-21,2026-06-30
SRS00050,Kate,Ross,2000-11-15,GBR,England,MSC_DATA,MSc Data Science,Active,Home,2022-09-22,2025-06-30
SRS00051,Toby,Mohamed,2002-12-01,GBR,England,BSC_NURS,BSc Nursing,Active,Home,2024-09-30,2027-06-30
SRS00052,Sophia,Petersen,2000-12-03,GBR,Wales,BSC_COMPSCI,BSc Computer Science,Active,Home,2022-09-17,2025-06-30
SRS00053,Luke,Abdi,1993-01-10,IRN,Overseas,MENG_CIVIL,MEng Civil Engineering,Active,Overseas,2023-09-16,2027-06-30
SRS00054,Freya,Kaur,1996-02-13,GBR,England,BA_HIST,BA History,Active,Home,2023-09-30,2026-06-30
SRS00055,Felix,Roberts,1997-07-20,GBR,England,BSC_PSYCH,BSc Psychology,Active,Home,2023-09-15,2026-06-30
SRS00056,Phoebe,Doherty,1993-06-06,GBR,England,BSC_MATHS,BSc Mathematics,Active,Home,2023-09-22,2026-06-30
SRS00057,Pippa,Cox,2002-06-15,GBR,England,MBA,MBA Business Administration,Active,Home,2024-09-25,2028-06-30
SRS00058,Joel,Stewart,1996-01-11,GBR,Wales,MENG_CIVIL,MEng Civil Engineering,Active,Home,2022-09-19,2026-06-30
SRS00059,Daniel,Diallo,1992-06-16,GBR,England,MSC_DATA,MSc Data Science,Withdrawn,Home,2023-09-16,2026-06-30
SRS00060,Jude,Ng,1994-09-15,,Overseas,MSC_DATA,MSc Data Science,Active,Overseas,2025-09-19,2028-06-30
SRS00061,Leon,Murphy,1998-02-18,GBR,England,MSC_DATA,MSc Data Science,Active,Home,2023-09-21,2026-06-30
SRS00062,Ryan,Kim,1998-09-24,GBR,Northern Ireland,BSC_COMPSCI,BSc Computer Science,Active,Home,2022-09-21,2025-06-30
SRS00063,Theo,Davies,2003-09-02,ITA,Overseas,BSC_BUS,BSc Business Management,Active,Overseas,2023-09-26,2026-06-30
SRS00064,Freddie,Jama,1996-01-24,GBR,England,BA_ENG,BA English Literature,Deferred,Home,2023-09-22,2026-06-30
SRS00065,Matthew,Abdi,2001-10-24,CHN,Overseas,BSC_PSYCH,BSc Psychology,Suspended,Overseas,2023-09-26,2027-06-30
SRS00066,Ruth,Ndiaye,1990-04-18,GBR,England,MBA,MBA Business Administration,Active,Home,2022-09-18,2026-06-30
SRS00067,Harriet,Kim,1996-09-13,CHN,Overseas,MSC_DATA,MSc Data Science,Active,Overseas,2022-09-22,2025-06-30
SRS00068,Daniel,Thomas,1997-02-16,GBR,England,MBA,MBA Business Administration,Withdrawn,Home,2025-09-30,2029-06-30
SRS00069,Verity,Stewart,1990-12-13,GBR,Scotland,BSC_NURS,BSc Nursing,Withdrawn,Home,2023-09-29,2026-06-30
SRS00070,Niamh,James,2000-05-29,GBR,England,BSC_COMPSCI,BSc Computer Science,Active,Home,2023-09-29,2026-06-30
SRS00071,Molly,Ahmed,1994-08-04,GBR,England,MSC_DATA,MSc Data Science,Active,Home,2025-09-27,2028-06-30
SRS00072,Sarah,Mitchell,1997-12-09,GBR,England,BSC_NURS,BSc Nursing,Active,Home,2025-09-20,2029-06-30
SRS00073,Cameron,Warsame,2006-11-25,GBR,England,BSC_PSYCH,BSc Psychology,Active,Home,2023-09-27,2027-06-30
SRS00074,Poppy,Chan,2007-04-10,PAK,Overseas,BSC_PSYCH,BSc Psychology,Active,Overseas,2022-09-24,2026-06-30
SRS00075,Luke,Clarke,1998-06-21,GBR,England,BA_ENG,BA English Literature,Deferred,Home,2023-09-19,2026-06-30
SRS00076,Emily,Jones,2006-11-11,,England,BA_HIST,BA History,Withdrawn,Home,2025-09-28,2028-06-30
SRS00077,Priya,Walker,2005-07-04,GBR,Scotland,BA_ENG,BA English Literature,Active,Home,2024-09-18,2027-06-30
SRS00078,Cerys,Jackson,2001-01-14,GBR,England,BSC_BUS,BSc Business Management,Active,Home,2024-09-23,2028-06-30
SRS00079,Theo,Bianchi,1996-09-16,GBR,England,MBA,MBA Business Administration,Active,Home,2024-09-27,2028-06-30
SRS00080,Ella,Romano,2001-06-05,GBR,England,BSC_MATHS,BSc Mathematics,Active,Home,2024-09-29,2028-06-30
SRS00081,Nathan,O'Brien,1990-04-27,GBR,England,BSC_PSYCH,BSc Psychology,Active,Home,2024-09-21,2027-06-30
SRS00082,Priya,Ward,2002-11-08,PAK,Overseas,BSC_MATHS,BSc Mathematics,Active,Overseas,2022-09-27,2026-06-30
SRS00083,Nathan,Wilson,1997-03-21,,Wales,BSC_COMPSCI,BSc Computer Science,Active,Home,2023-09-15,2027-06-30
SRS00084,Cara,Taylor,2001-03-05,GBR,England,MENG_CIVIL,MEng Civil Engineering,Active,Home,2025-09-17,2029-06-30
SRS00085,Max,Ng,2004-05-11,GBR,England,MSC_DATA,MSc Data Science,Active,Home,2024-09-24,2027-06-30
SRS00086,Kai,Ali,2004-05-02,,Overseas,BSC_COMPSCI,BSc Computer Science,Withdrawn,Overseas,2022-09-29,2026-06-30
SRS00087,Jessica,Andersson,1994-12-30,GBR,England,BSC_PSYCH,BSc Psychology,Active,Home,2023-09-16,2027-06-30
SRS00088,Sebastian,Lam,2002-11-08,GBR,England,BSC_NURS,BSc Nursing,Active,Home,2023-09-17,2026-06-30
SRS00089,Millie,Reid,1995-08-20,ITA,Overseas,MBA,MBA Business Administration,Active,Overseas,2022-09-21,2026-06-30
SRS00090,Harriet,Taylor,2005-03-07,GBR,England,BSC_MATHS,BSc Mathematics,Withdrawn,Home,2022-09-15,2025-06-30
SRS00091,Ruth,Sharma,1990-06-04,GBR,England,BA_ENG,BA English Literature,Active,Home,2024-09-22,2028-06-30
SRS00092,Abigail,Mahmood,1997-07-21,GBR,England,MENG_CIVIL,MEng Civil Engineering,Active,Home,2023-09-18,2026-06-30
SRS00093,Roisin,James,2003-02-10,,England,BA_HIST,BA History,Active,Home,2024-09-17,2028-06-30
SRS00094,Cerys,Mensah,2004-02-01,GBR,Northern Ireland,BSC_COMPSCI,BSc Computer Science,Active,Home,2022-09-17,2026-06-30
SRS00095,Yasmin,Flynn,2007-01-28,GBR,England,BA_HIST,BA History,Active,Home,2025-09-28,2029-06-30
SRS00096,Sarah,Gupta,2002-04-21,GBR,Scotland,BSC_MATHS,BSc Mathematics,Active,Home,2023-09-21,2026-06-30
SRS00097,Millie,Graham,1991-01-05,GBR,England,BSC_MATHS,BSc Mathematics,Active,Home,2022-09-25,2025-06-30
SRS00098,Miriam,Brady,1993-02-23,CHN,Overseas,MSC_DATA,MSc Data Science,Withdrawn,Overseas,2022-09-29,2026-06-30
SRS00099,Cara,Shaw,2004-10-03,GBR,England,BSC_NURS,BSc Nursing,Active,Home,2024-09-25,2028-06-30
SRS00100,Thomas,Richardson,1999-09-11,GBR,England,BSC_NURS,BSc Nursing,Active,Home,2022-09-24,2025-06-30
SRS00101,Charlie,Reid,1990-01-09,ZWE,Overseas,BSC_BUS,BSc Business Management,Active,Overseas,2024-09-22,2028-06-30
SRS00102,Evie,Evans,1993-10-13,GBR,England,BA_ENG,BA English Literature,Withdrawn,Home,2023-09-29,2026-06-30
SRS00103,Layla,Mensah,2006-02-01,PAK,Overseas,BSC_PSYCH,BSc Psychology,Active,Overseas,2022-09-20,2026-06-30
SRS00104,Hannah,Lam,2003-11-03,,Overseas,BSC_PSYCH,BSc Psychology,Active,Overseas,2022-09-19,2026-06-30
SRS00105,Roisin,O'Sullivan,1995-08-18,GBR,England,BSC_MATHS,BSc Mathematics,Active,Home,2024-09-23,2028-06-30
SRS00106,Ella,Thompson,1996-01-24,GBR,England,BSC_COMPSCI,BSc Computer Science,Active,Home,2022-09-28,2026-06-30
SRS00107,Aoife,Mohamed,1993-04-20,CHN,Overseas,MBA,MBA Business Administration,Active,Overseas,2022-09-27,2026-06-30
SRS00108,Niamh,Shah,2004-08-05,GBR,England,BSC_PSYCH,BSc Psychology,Suspended,Home,2023-09-28,2026-06-30
SRS00109,Verity,Costa,1990-12-29,GBR,England,BSC_PSYCH,BSc Psychology,Active,Home,2023-09-23,2027-06-30
SRS00110,Cian,Lee,2007-12-23,GBR,Wales,BSC_COMPSCI,BSc Computer Science,Active,Home,2022-09-25,2026-06-30
SRS00111,Bethany,Kaur,1995-03-26,CHN,Overseas,BA_ENG,BA English Literature,Active,Overseas,2022-09-28,2025-06-30
SRS00112,Oliver,Costa,1992-01-08,IND,Overseas,MENG_CIVIL,MEng Civil Engineering,Active,Overseas,2023-09-19,2027-06-30
SRS00113,Evie,Ng,1997-12-08,,Overseas,BSC_NURS,BSc Nursing,Deferred,Overseas,2023-09-18,2026-06-30
SRS00114,Ruth,Brown,2001-11-24,GBR,England,MSC_DATA,MSc Data Science,Active,Home,2023-09-30,2026-06-30
SRS00115,Theo,Svensson,2003-06-21,GBR,England,MSC_DATA,MSc Data Science,Active,Home,2022-09-25,2025-06-30
SRS00116,Zara,Conti,2007-02-09,ZWE,Overseas,MSC_DATA,MSc Data Science,Active,Overseas,2025-09-24,2028-06-30
SRS00117,Henry,Murphy,1993-02-20,USA,Overseas,BSC_COMPSCI,BSc Computer Science,Active,Overseas,2022-09-16,2026-06-30
SRS00118,Jasmine,Greco,1997-06-13,,Overseas,MSC_DATA,MSc Data Science,Active,Overseas,2023-09-30,2026-06-30
SRS00119,Anna,Bianchi,2001-09-04,GBR,Northern Ireland,BSC_MATHS,BSc Mathematics,Suspended,Home,2025-09-20,2029-06-30
SRS00120,Daniel,Walsh,1996-04-15,IND,Overseas,BSC_BUS,BSc Business Management,Active,Overseas,2023-09-28,2026-06-30
SRS00121,Pippa,Chan,2003-09-11,GBR,Northern Ireland,BSC_COMPSCI,BSc Computer Science,Active,Home,2024-09-23,2028-06-30
SRS00122,James,Thomas,1990-05-24,IND,Overseas,BSC_COMPSCI,BSc Computer Science,Active,Overseas,2022-09-25,2025-06-30
SRS00123,Abigail,Harris,2000-07-06,GBR,England,BSC_NURS,BSc Nursing,Withdrawn,Home,2023-09-26,2027-06-30
SRS00124,Hassan,Jama,1994-04-16,GBR,England,MSC_DATA,MSc Data Science,Active,Home,2023-09-26,2027-06-30
SRS00125,Joseph,Diallo,1997-01-01,GBR,Northern Ireland,BA_HIST,BA History,Active,Home,2022-09-28,2026-06-30
SRS00126,Nadia,Campbell,1993-06-12,GBR,England,MENG_CIVIL,MEng Civil Engineering,Active,Home,2023-09-25,2027-06-30
SRS00127,Sophie,James,1990-12-01,GBR,Northern Ireland,BSC_BUS,BSc Business Management,Active,Home,2025-09-17,2028-06-30
SRS00128,Dominic,Larsen,1995-02-06,CHN,Overseas,BSC_COMPSCI,BSc Computer Science,Active,Overseas,2022-09-28,2026-06-30
SRS00129,Nadia,Romano,1992-02-29,IND,Overseas,BSC_BUS,BSc Business Management,Active,Overseas,2024-09-23,2028-06-30
SRS00130,Natalie,Shah,2002-08-22,GBR,England,BSC_COMPSCI,BSc Computer Science,Active,Home,2025-09-28,2029-06-30
SRS00131,Layla,Greco,2006-09-09,GBR,England,BA_ENG,BA English Literature,Active,Home,2024-09-30,2027-06-30
SRS00132,Jude,Ricci,1999-11-14,,England,BSC_NURS,BSc Nursing,Active,Home,2022-09-21,2025-06-30
SRS00133,Daniel,Nielsen,2004-11-30,GBR,England,BSC_MATHS,BSc Mathematics,Active,Home,2023-09-16,2026-06-30
SRS00134,Niall,Ward,2000-04-24,CHN,Overseas,BA_ENG,BA English Literature,Suspended,Overseas,2022-09-16,2025-06-30
SRS00135,Cian,Jackson,2000-07-26,GBR,England,MBA,MBA Business Administration,Active,Home,2023-09-18,2027-06-30
SRS00136,James,Jackson,1996-05-29,IND,Overseas,MSC_DATA,MSc Data Science,Active,Overseas,2024-09-25,2027-06-30
SRS00137,Cameron,Costa,2001-12-11,GBR,Northern Ireland,MBA,MBA Business Administration,Active,Home,2022-09-18,2025-06-30
SRS00138,Omar,Farah,1999-10-19,GBR,England,MENG_CIVIL,MEng Civil Engineering,Deferred,Home,2024-09-17,2028-06-30
SRS00139,Harry,Khan,2000-04-28,DEU,Overseas,BA_HIST,BA History,Active,Overseas,2022-09-16,2025-06-30
SRS00140,Henry,Lewis,1998-02-18,,England,BSC_MATHS,BSc Mathematics,Active,Home,2022-09-24,2025-06-30
SRS00141,Yasmin,Flynn,2003-09-04,NGA,Overseas,BA_ENG,BA English Literature,Active,Overseas,2025-09-16,2028-06-30
SRS00142,Patrick,Ross,1998-03-12,USA,Overseas,BSC_BUS,BSc Business Management,Active,Overseas,2023-09-21,2027-06-30
SRS00143,Imogen,Cooper,1992-07-20,GBR,England,BSC_BUS,BSc Business Management,Active,Home,2024-09-22,2028-06-30
SRS00144,Poppy,Hussain,2004-09-20,MYS,Overseas,MENG_CIVIL,MEng Civil Engineering,Deferred,Overseas,2024-09-27,2027-06-30
SRS00145,Imogen,Singh,1996-12-04,GBR,England,BSC_COMPSCI,BSc Computer Science,Withdrawn,Home,2023-09-15,2027-06-30
SRS00146,Muhammad,Davies,1991-07-01,DEU,Overseas,BSC_BUS,BSc Business Management,Active,Overseas,2022-09-23,2025-06-30
SRS00147,Muhammad,Davies,2001-07-08,GBR,England,MSC_DATA,MSc Data Science,Active,Home,2022-09-18,2026-06-30
SRS00148,Omar,Howard,1999-07-17,GBR,England,BA_HIST,BA History,Active,Home,2023-09-22,2026-06-30
SRS00149,Alfie,Jones,2006-07-20,PAK,Overseas,BSC_NURS,BSc Nursing,Withdrawn,Overseas,2024-09-28,2027-06-30
SRS00150,Ruth,Watson,1995-12-30,IRN,Overseas,MSC_DATA,MSc Data Science,Active,Overseas,2023-09-17,2027-06-30
SRS00151,Ethan,Ahmed,2005-05-27,GBR,England,BA_HIST,BA History,Active,Home,2025-09-30,2029-06-30
SRS00152,Ethan,Islam,2001-09-21,CHN,Overseas,MENG_CIVIL,MEng Civil Engineering,Withdrawn,Overseas,2025-09-27,2028-06-30
SRS00153,Ibrahim,Walsh,2006-03-09,NGA,Overseas,MSC_DATA,MSc Data Science,Active,Overseas,2022-09-19,2026-06-30
SRS00154,Matthew,Ahmed,1993-07-26,GBR,Northern Ireland,BSC_NURS,BSc Nursing,Active,Home,2025-09-18,2028-06-30
SRS00155,Sebastian,Islam,1994-07-09,GBR,England,BSC_NURS,BSc Nursing,Active,Home,2025-09-20,2029-06-30
SRS00156,Naomi,Mensah,1990-01-31,ITA,Overseas,BSC_PSYCH,BSc Psychology,Active,Overseas,2025-09-23,2029-06-30
SRS00157,Emre,Diallo,2001-03-27,GBR,England,BSC_COMPSCI,BSc Computer Science,Active,Home,2025-09-29,2029-06-30
SRS00158,Laura,Mohamed,2001-09-16,GBR,Wales,MENG_CIVIL,MEng Civil Engineering,Active,Home,2022-09-17,2025-06-30
SRS00159,Niall,Harris,2006-12-04,CHN,Overseas,MSC_DATA,MSc Data Science,Deferred,Overseas,2023-09-22,2026-06-30
SRS00160,Natalie,Begum,2006-03-28,DEU,Overseas,BSC_MATHS,BSc Mathematics,Active,Overseas,2024-09-30,2027-06-30
SRS00161,Patrick,Murphy,1992-11-23,GBR,England,BSC_MATHS,BSc Mathematics,Active,Home,2025-09-16,2029-06-30
SRS00162,Finn,Walsh,2003-08-08,CHN,Overseas,MENG_CIVIL,MEng Civil Engineering,Active,Overseas,2024-09-17,2027-06-30
SRS00163,Seren,Edwards,1997-03-06,ZWE,Overseas,MSC_DATA,MSc Data Science,Active,Overseas,2022-09-23,2025-06-30
SRS00164,Clara,Farah,2007-08-24,GBR,England,BA_ENG,BA English Literature,Active,Home,2025-09-22,2029-06-30
SRS00165,Leah,Patel,2004-05-21,USA,Overseas,BA_ENG,BA English Literature,Active,Overseas,2022-09-15,2025-06-30
SRS00166,Arjun,Smith,2001-08-30,GBR,England,BSC_COMPSCI,BSc Computer Science,Withdrawn,Home,2023-09-20,2026-06-30
SRS00167,Charlotte,Thomas,1998-11-22,GBR,Northern Ireland,MSC_DATA,MSc Data Science,Active,Home,2022-09-21,2025-06-30
SRS00168,Dylan,Martin,2005-08-14,GBR,England,BSC_NURS,BSc Nursing,Active,Home,2022-09-17,2026-06-30
SRS00169,Adam,Bah,2001-07-15,PAK,Overseas,BSC_BUS,BSc Business Management,Active,Overseas,2024-09-20,2027-06-30
SRS00170,Ella,Brown,1996-03-14,,England,BSC_MATHS,BSc Mathematics,Active,Home,2024-09-17,2027-06-30
SRS00171,Zara,Morgan,1992-05-18,CHN,Overseas,MSC_DATA,MSc Data Science,Withdrawn,Overseas,2024-09-22,2027-06-30
SRS00172,Harry,Greco,2002-10-18,,Overseas,MSC_DATA,MSc Data Science,Active,Overseas,2022-09-23,2026-06-30
SRS00173,Luke,Kim,1999-06-05,GBR,England,BSC_BUS,BSc Business Management,Active,Home,2024-09-24,2028-06-30
SRS00174,Sarah,Okafor,1993-07-27,CHN,Overseas,BSC_BUS,BSc Business Management,Active,Overseas,2025-09-29,2028-06-30
SRS00175,Olivia,Thomas,1995-06-28,GBR,England,BA_HIST,BA History,Active,Home,2024-09-19,2028-06-30
SRS00176,Grace,Singh,2004-07-03,MYS,Overseas,BSC_PSYCH,BSc Psychology,Active,Overseas,2024-09-28,2028-06-30
SRS00177,Jacob,Kumar,2007-03-11,GBR,Northern Ireland,BSC_COMPSCI,BSc Computer Science,Active,Home,2023-09-24,2027-06-30
SRS00178,Luke,Farah,1994-12-06,CHN,Overseas,BSC_MATHS,BSc Mathematics,Active,Overseas,2022-09-15,2026-06-30
SRS00179,Alfie,Clarke,1993-10-10,GBR,England,BSC_BUS,BSc Business Management,Active,Home,2022-09-29,2026-06-30
SRS00180,George,Warsame,1999-08-19,,Overseas,BA_ENG,BA English Literature,Active,Overseas,2025-09-22,2029-06-30
SRS00181,Connor,Berg,1990-09-13,GBR,England,MENG_CIVIL,MEng Civil Engineering,Active,Home,2023-09-23,2027-06-30
SRS00182,Freddie,Wong,2006-07-12,GBR,Scotland,BA_ENG,BA English Literature,Active,Home,2024-09-15,2028-06-30
SRS00183,Miriam,Wood,2004-06-02,GBR,Wales,BA_HIST,BA History,Active,Home,2022-09-23,2025-06-30
SRS00184,Owen,Johnson,1998-02-01,,Scotland,BA_HIST,BA History,Active,Home,2022-09-26,2026-06-30
SRS00185,Reuben,Svensson,2006-03-17,IRN,Overseas,BSC_BUS,BSc Business Management,Active,Overseas,2022-09-17,2025-06-30
SRS00186,Omar,Gupta,2002-04-22,ITA,Overseas,BA_HIST,BA History,Active,Overseas,2023-09-16,2026-06-30
SRS00187,Laura,Owusu,1998-06-14,IND,Overseas,BSC_NURS,BSc Nursing,Active,Overseas,2023-09-15,2026-06-30
SRS00188,Niall,Yusuf,2006-01-26,GBR,England,MBA,MBA Business Administration,Withdrawn,Home,2025-09-27,2029-06-30
SRS00189,Ethan,Brooks,2003-12-20,GBR,Wales,MSC_DATA,MSc Data Science,Active,Home,2025-09-17,2028-06-30
SRS00190,Harriet,Flynn,2006-12-22,IRN,Overseas,MSC_DATA,MSc Data Science,Active,Overseas,2025-09-15,2028-06-30
SRS00191,Dylan,Greco,1996-04-12,ITA,Overseas,BSC_BUS,BSc Business Management,Withdrawn,Overseas,2025-09-18,2028-06-30
SRS00192,Ibrahim,Reid,1993-09-19,GBR,Scotland,BA_HIST,BA History,Active,Home,2025-09-27,2029-06-30
SRS00193,Rory,Ndiaye,2000-04-20,IND,Overseas,MENG_CIVIL,MEng Civil Engineering,Active,Overseas,2024-09-28,2028-06-30
SRS00194,Benjamin,Park,1999-06-03,GBR,England,BSC_NURS,BSc Nursing,Withdrawn,Home,2024-09-19,2028-06-30
SRS00195,Oscar,Morgan,2000-10-11,GBR,England,BSC_COMPSCI,BSc Computer Science,Active,Home,2022-09-30,2026-06-30
SRS00196,Freya,Ryan,1996-07-24,GBR,Northern Ireland,BA_HIST,BA History,Deferred,Home,2023-09-24,2026-06-30
SRS00197,Anna,O'Brien,2001-07-31,GBR,England,BSC_NURS,BSc Nursing,Suspended,Home,2022-09-18,2026-06-30
SRS00198,Leila,Murphy,1994-09-15,GBR,England,BSC_PSYCH,BSc Psychology,Active,Home,2025-09-27,2028-06-30
SRS00199,Emre,Mohamed,1992-03-19,GBR,England,BSC_COMPSCI,BSc Computer Science,Deferred,Home,2023-09-22,2026-06-30
SRS00200,Rory,Yusuf,1999-12-12,,England,MSC_DATA,MSc Data Science,Suspended,Home,2024-09-23,2027-06-30
SRS00201,Zac,Asante,1994-04-26,GBR,Northern Ireland,BSC_PSYCH,BSc Psychology,Active,Home,2024-09-16,2028-06-30
SRS00202,Mia,Esposito,2005-09-11,ZWE,Overseas,BSC_BUS,BSc Business Management,Deferred,Overseas,2024-09-26,2028-06-30
SRS00203,Oscar,James,1990-01-21,GBR,England,BSC_MATHS,BSc Mathematics,Active,Home,2025-09-19,2029-06-30
SRS00204,Jacob,Andersson,1998-08-12,IND,Overseas,BSC_BUS,BSc Business Management,Active,Overseas,2024-09-30,2027-06-30
SRS00205,Cerys,Svensson,1999-01-14,,Overseas,MENG_CIVIL,MEng Civil Engineering,Active,Overseas,2025-09-20,2028-06-30
SRS00206,Kieran,Shaw,1994-01-29,GBR,England,BSC_NURS,BSc Nursing,Active,Home,2022-09-22,2026-06-30
