student_ref,first_name,last_name,date_of_birth,fee_status,tuition_fee_amount,bursary_flag,payment_status,enrolment_status,academic_year
FIN00063,Theo,Davies,2003-09-02,O,15000,Y,Paid,Enrolled,2025/26
FIN00064,Freddie,Jama,1996-01-24,H,9250,N,Paid,Deferred,2025/26
FIN00065,Matthew,Abdi,2001-10-24,O,15000,N,Paid,Suspended,2025/26
FIN00066,Ruth,Ndiaye,1990-04-18,H,9250,N,Paid,Enrolled,2025/26
FIN00067,Harriet,Kim,1996-09-13,O,21000,N,Paid,Enrolled,2025/26
FIN00068,Daniel,Thomas,1997-02-16,H,9250,N,Paid,Inactive,2025/26
FIN00069,Verity,Stewart,1990-12-13,H,9250,N,Paid,Inactive,2025/26
FIN00070,Niamh,James,2000-05-29,H,9250,N,Paid,Enrolled,2025/26
FIN00071,Molly,Ahmed,1994-08-04,H,9250,N,Paid,Enrolled,2025/26
FIN00072,Sarah,Mitchell,1997-12-09,H,9250,N,Paid,Enrolled,2025/26
FIN00073,Cameron,Warsame,2006-11-25,H,9250,N,Paid,Enrolled,2025/26
FIN00074,Poppy,Chan,2007-04-10,O,24000,N,Outstanding,Enrolled,2025/26
FIN00075,Luke,Clarke,1998-06-21,H,9250,Y,Partial,Deferred,2025/26
FIN00076,Emily,Jones,2006-11-11,H,9250,N,Paid,Inactive,2025/26
FIN00077,Priya,Walker,2005-07-04,H,9250,N,Paid,Enrolled,2025/26
FIN00078,Cerys,Jackson,2001-01-14,H,9250,N,Partial,Enrolled,2025/26
FIN00079,Theo,Bianchi,1996-09-16,H,9250,N,Outstanding,Enrolled,2025/26
FIN00080,Ella,Romano,2001-06-05,H,9250,N,Paid,Enrolled,2025/26
FIN00081,Nathan,O'Brien,1990-04-27,H,9250,N,Paid,Enrolled,2025/26
FIN00082,Priya,Ward,2002-11-08,O,15000,Y,Paid,Enrolled,2025/26
FIN00083,Nathan,Wilson,1997-03-21,H,9250,N,Partial,Enrolled,2025/26
FIN00084,Cara,Taylor,2001-03-05,H,9250,N,Paid,Enrolled,2025/26
FIN00085,Max,Ng,2004-05-11,H,9250,N,Paid,Enrolled,2025/26
FIN00086,Kai,Ali,2004-05-02,O,18000,N,Paid,Inactive,2025/26
FIN00087,Jessica,Andersson,1994-12-30,H,9250,N,Paid,Enrolled,2025/26
FIN00088,Sebastian,Lam,2002-11-08,H,9250,N,Outstanding,Enrolled,2025/26
FIN00089,Millie,Reid,1995-08-20,O,15000,N,Partial,Enrolled,2025/26
FIN00090,Harriet,Taylor,2005-03-07,H,9250,N,Partial,Inactive,2025/26
FIN00091,Ruth,Sharma,1990-06-04,H,9250,N,Paid,Enrolled,2025/26
FIN00092,Abigail,Mahmood,1997-07-21,H,9250,N,Paid,Enrolled,2025/26
FIN00093,Roisin,James,2003-02-10,H,9250,N,Outstanding,Enrolled,2025/26
FIN00094,Cerys,Mensah,2004-02-01,H,9250,N,Paid,Enrolled,2025/26
FIN00095,Yasmin,Flynn,2007-01-28,H,9250,N,Paid,Enrolled,2025/26
FIN00096,Sarah,Gupta,2002-04-21,H,9250,N,Paid,Enrolled,2025/26
FIN00097,Millie,Graham,1991-01-05,H,9250,N,Outstanding,Enrolled,2025/26
FIN00098,Miriam,Brady,1993-02-23,O,21000,N,Paid,Inactive,2025/26
FIN00099,Cara,Shaw,2004-10-03,H,9250,Y,Partial,Enrolled,2025/26
FIN00100,Thomas,Richardson,1999-09-11,H,9250,N,Paid,Enrolled,2025/26
FIN00101,Charlie,Reid,1990-01-09,O,15000,N,Paid,Enrolled,2025/26
FIN00102,Evie,Evans,1993-10-13,H,9250,N,Partial,Inactive,2025/26
FIN00103,Layla,Mensah,2006-02-01,O,24000,N,Partial,Enrolled,2025/26
FIN00104,Hannah,Lam,2003-11-03,O,21000,N,Paid,Enrolled,2025/26
FIN00105,Roisin,O'Sullivan,1995-08-18,H,9250,N,Partial,Enrolled,2025/26
FIN00106,Ella,Thompson,1996-01-24,H,9250,N,Paid,Enrolled,2025/26
FIN00107,Aoife,Mohamed,1993-04-20,O,21000,N,Paid,Enrolled,2025/26
FIN00108,Niamh,Shah,2004-08-05,H,9250,N,Paid,Suspended,2025/26
FIN00109,Verity,Costa,1990-12-29,H,9250,N,Partial,Enrolled,2025/26
FIN00110,Cian,Lee,2007-12-23,H,9250,N,Paid,Enrolled,2025/26
FIN00111,Bethany,Kaur,1995-03-26,O,21000,N,Paid,Enrolled,2025/26
FIN00112,Oliver,Costa,1992-01-08,O,18000,N,Paid,Enrolled,2025/26
FIN00113,Evie,Ng,1997-12-08,O,18000,N,Partial,Deferred,2025/26
FIN00114,Ruth,Brown,2001-11-24,H,9250,N,Paid,Enrolled,2025/26
FIN00115,Theo,Svensson,2003-06-21,H,9250,N,Partial,Enrolled,2025/26
FIN00116,Zara,Conti,2007-02-09,O,21000,N,Outstanding,Enrolled,2025/26
FIN00117,Henry,Murphy,1993-02-20,O,21000,N,Paid,Enrolled,2025/26
FIN00118,Jasmine,Greco,1997-06-13,O,18000,N,Partial,Enrolled,2025/26
FIN00119,Anna,Bianchi,2001-09-04,H,9250,N,Paid,Suspended,2025/26
FIN00120,Daniel,Walsh,1996-04-15,O,21000,N,Partial,Enrolled,2025/26
FIN00121,Pippa,Chan,2003-09-11,H,9250,N,Partial,Enrolled,2025/26
FIN00122,James,Thomas,1990-05-24,O,24000,N,Paid,Enrolled,2025/26
FIN00123,Abigail,Harris,2000-07-06,H,9250,N,Paid,Inactive,2025/26
FIN00124,Hassan,Jama,1994-04-16,H,9250,N,Outstanding,Enrolled,2025/26
FIN00125,Joseph,Diallo,1997-01-01,H,9250,N,Partial,Enrolled,2025/26
FIN00126,Nadia,Campbell,1993-06-12,H,9250,N,Partial,Enrolled,2025/26
FIN00127,Sophie,James,1990-12-01,H,9250,N,Paid,Enrolled,2025/26
FIN00128,Dominic,Larsen,1995-02-06,O,24000,N,Paid,Enrolled,2025/26
FIN00129,Nadia,Romano,1992-02-29,O,15000,N,Paid,Enrolled,2025/26
FIN00130,Natalie,Shah,2002-08-22,H,9250,Y,Paid,Enrolled,2025/26
FIN00131,Layla,Greco,2006-09-09,O,9250,N,Outstanding,Enrolled,2025/26
FIN00132,Jude,Ricci,1999-11-14,H,9250,N,Paid,Enrolled,2025/26
FIN00133,Daniel,Nielsen,2004-11-30,H,9250,N,Partial,Enrolled,2025/26
FIN00134,Niall,Ward,2000-04-24,O,21000,N,Paid,Suspended,2025/26
FIN00135,Cian,Jackson,2000-07-26,H,9250,N,Partial,Enrolled,2025/26
FIN00136,James,Jackson,1996-05-29,O,21000,N,Paid,Enrolled,2025/26
FIN00137,Cameron,Costa,2001-12-11,H,9250,Y,Paid,Enrolled,2025/26
FIN00138,Omar,Farah,1999-10-19,H,9250,N,Paid,Deferred,2025/26
FIN00139,Harry,Khan,2000-04-28,O,15000,N,Paid,Enrolled,2025/26
FIN00140,Henry,Lewis,1998-02-18,H,9250,N,Outstanding,Enrolled,2025/26
FIN00141,Yasmin,Flynn,2003-09-04,O,21000,N,Outstanding,Enrolled,2025/26
FIN00142,Patrick,Ross,1998-03-12,O,18000,N,Paid,Enrolled,2025/26
FIN00143,Imogen,Cooper,1992-07-20,H,9250,N,Paid,Enrolled,2025/26
FIN00144,Poppy,Hussain,2004-09-20,O,24000,N,Paid,Deferred,2025/26
FIN00145,Imogen,Singh,1996-12-04,H,9250,Y,Partial,Inactive,2025/26
FIN00146,Muhammad,Davies,1991-07-01,O,18000,Y,Outstanding,Enrolled,2025/26
FIN00147,Muhammad,Davies,2001-07-08,H,9250,N,Paid,Enrolled,2025/26
FIN00148,Omar,Howard,1999-07-17,H,9250,N,Partial,Enrolled,2025/26
FIN00149,Alfie,Jones,2006-07-20,O,24000,N,Paid,Inactive,2025/26
FIN00150,Ruth,Watson,1995-12-30,O,15000,N,Partial,Enrolled,2025/26
FIN00151,Ethan,Ahmed,2005-05-27,H,9250,N,Paid,Enrolled,2025/26
FIN00152,Ethan,Islam,2001-09-21,O,18000,N,Partial,Inactive,2025/26
FIN00153,Ibrahim,Walsh,2006-03-09,O,21000,N,Paid,Enrolled,2025/26
FIN00154,Matthew,Ahmed,1993-07-26,H,9250,N,Paid,Enrolled,2025/26
FIN00155,Sebastian,Islam,1994-07-09,H,9250,N,Paid,Enrolled,2025/26
FIN00156,Naomi,Mensah,1990-01-31,O,24000,N,Outstanding,Enrolled,2025/26
FIN00157,Emre,Diallo,2001-03-27,H,9250,N,Partial,Enrolled,2025/26
FIN00158,Laura,Mohamed,2001-09-16,H,9250,N,Paid,Enrolled,2025/26
FIN00159,Niall,Harris,2006-12-04,O,15000,N,Partial,Deferred,2025/26
FIN00160,Natalie,Begum,2006-03-28,O,15000,N,Partial,Enrolled,2025/26
FIN00161,Patrick,Murphy,1992-11-23,H,9250,N,Paid,Enrolled,2025/26
FIN00162,Finn,Walsh,2003-08-08,O,15000,N,Paid,Enrolled,2025/26
FIN00163,Seren,Edwards,1997-03-06,O,21000,N,Paid,Enrolled,2025/26
FIN00164,Clara,Farah,2007-08-24,H,9250,N,Paid,Enrolled,2025/26
FIN00165,Leah,Patel,2004-05-21,O,24000,N,Paid,Enrolled,2025/26
FIN00166,Arjun,Smith,2001-08-30,O,9250,N,Partial,Inactive,2025/26
FIN00167,Charlotte,Thomas,1998-11-22,H,9250,N,Paid,Enrolled,2025/26
FIN00168,Dylan,Martin,2005-08-14,H,9250,N,Paid,Enrolled,2025/26
FIN00169,Adam,Bah,2001-07-15,H,21000,N,Outstanding,Enrolled,2025/26
FIN00170,Ella,Brown,1996-03-14,H,9250,N,Outstanding,Enrolled,2025/26
FIN00171,Zara,Morgan,1992-05-18,O,21000,N,Paid,Inactive,2025/26
FIN00172,Harry,Greco,2002-10-18,O,18000,N,Paid,Enrolled,2025/26
FIN00173,Luke,Kim,1999-06-05,H,9250,N,Paid,Enrolled,2025/26
FIN00174,Sarah,Okafor,1993-07-27,O,15000,N,Paid,Enrolled,2025/26
FIN00175,Olivia,Thomas,1995-06-28,H,9250,N,Partial,Enrolled,2025/26
FIN00176,Grace,Singh,2004-07-03,O,18000,N,Outstanding,Enrolled,2025/26
FIN00177,Jacob,Kumar,2007-03-11,H,9250,N,Paid,Enrolled,2025/26
FIN00178,Luke,Farah,1994-12-06,O,21000,Y,Paid,Enrolled,2025/26
FIN00179,Alfie,Clarke,1993-10-10,H,9250,N,Partial,Enrolled,2025/26
FIN00180,George,Warsame,1999-08-19,O,24000,N,Partial,Enrolled,2025/26
FIN00181,Connor,Berg,1990-09-13,H,9250,N,Outstanding,Enrolled,2025/26
FIN00182,Freddie,Wong,2006-07-12,H,9250,N,Partial,Enrolled,2025/26
FIN00183,Miriam,Wood,2004-06-02,H,9250,N,Paid,Enrolled,2025/26
FIN00184,Owen,Johnson,1998-02-01,H,9250,N,Paid,Enrolled,2025/26
FIN00185,Reuben,Svensson,2006-03-17,O,24000,N,Paid,Enrolled,2025/26
FIN00186,Omar,Gupta,2002-04-22,O,15000,N,Paid,Enrolled,2025/26
FIN00187,Laura,Owusu,1998-06-14,O,15000,N,Paid,Enrolled,2025/26
FIN00188,Niall,Yusuf,2006-01-26,H,9250,N,Paid,Inactive,2025/26
FIN00189,Ethan,Brooks,2003-12-20,H,9250,N,Paid,Enrolled,2025/26
FIN00190,Harriet,Flynn,2006-12-22,O,24000,N,Outstanding,Enrolled,2025/26
FIN00191,Dylan,Greco,1996-04-12,O,15000,N,Paid,Inactive,2025/26
FIN00192,Ibrahim,Reid,1993-09-19,H,9250,N,Outstanding,Enrolled,2025/26
FIN00193,Rory,Ndiaye,2000-04-20,O,18000,N,Paid,Enrolled,2025/26
FIN00194,Benjamin,Park,1999-06-03,H,9250,N,Partial,Inactive,2025/26
FIN00195,Oscar,Morgan,2000-10-11,H,9250,Y,Paid,Enrolled,2025/26
FIN00196,Freya,Ryan,1996-07-24,H,9250,N,Paid,Deferred,2025/26
FIN00197,Anna,O'Brien,2001-07-31,H,9250,N,Paid,Suspended,2025/26
FIN00198,Leila,Murphy,1994-09-15,H,9250,N,Paid,Enrolled,2025/26
FIN00199,Emre,Mohamed,1992-03-19,H,9250,N,Paid,Deferred,2025/26
FIN00200,Rory,Yusuf,1999-12-12,H,9250,N,Partial,Suspended,2025/26
FIN00201,Zac,Asante,1994-04-26,H,9250,Y,Paid,Enrolled,2025/26
FIN00202,Mia,Esposito,2005-09-11,O,21000,N,Outstanding,Deferred,2025/26
FIN00203,Oscar,James,1990-01-21,H,9250,N,Outstanding,Enrolled,2025/26
FIN00204,Jacob,Andersson,1998-08-12,O,21000,N,Partial,Enrolled,2025/26
FIN00205,Cerys,Svensson,1999-01-14,O,18000,N,Outstanding,Enrolled,2025/26
FIN00206,Kieran,Shaw,1994-01-29,H,9250,N,Paid,Enrolled,2025/26
FIN00207,Sophie,Ho,2003-03-30,H,9250,N,Paid,Enrolled,2025/26
FIN00208,Harriet,Harris,1994-10-17,H,9250,N,Paid,Enrolled,2025/26
FIN00209,Chloe,Svensson,2004-09-27,H,9250,N,Paid,Enrolled,2025/26
FIN00210,Benjamin,Lindqvist,2004-05-28,O,18000,N,Partial,Enrolled,2025/26
FIN00211,Rhys,Toure,2005-04-13,H,9250,N,Partial,Enrolled,2025/26
FIN00212,Arjun,Romano,1991-12-10,O,15000,N,Paid,Enrolled,2025/26
FIN00213,Joshua,McCarthy,1998-05-02,O,15000,N,Paid,Enrolled,2025/26
FIN00214,Emre,Lam,1992-01-26,H,9250,N,Paid,Inactive,2025/26
FIN00215,Samuel,Lindqvist,2001-11-17,H,9250,N,Paid,Enrolled,2025/26
FIN00216,Reuben,Cooper,2007-11-27,H,9250,N,Paid,Enrolled,2025/26
FIN00217,Verity,Owusu,2007-02-22,H,9250,N,Paid,Enrolled,2025/26
FIN00218,Dylan,Doherty,1992-01-10,H,9250,N,Paid,Enrolled,2025/26
FIN00219,Grace,Conti,2000-07-06,H,9250,N,Partial,Enrolled,2025/26
FIN00220,Rohan,Hussein,2002-02-17,H,9250,Y,Paid,Deferred,2025/26
FIN00221,Oscar,Price,2001-03-25,H,9250,N,Paid,Enrolled,2025/26
FIN00222,Charlie,Singh,1993-05-10,H,9250,N,Outstanding,Enrolled,2025/26
FIN00223,Maya,Asante,1996-08-12,H,9250,N,Partial,Enrolled,2025/26
FIN00224,Amelia,Williams,2007-06-22,H,9250,Y,Partial,Enrolled,2025/26
FIN00225,Lily,Kaur,1993-04-16,O,9250,N,Outstanding,Enrolled,2025/26
FIN00226,Imogen,Kim,1998-07-23,H,9250,N,Paid,Enrolled,2025/26
FIN00227,Matthew,Ward,1998-02-11,H,9250,N,Paid,Enrolled,2025/26
FIN00228,Siobhan,James,1997-08-16,H,9250,Y,Paid,Enrolled,2025/26
FIN00229,Omar,Ng,2002-08-19,O,18000,N,Partial,Enrolled,2025/26
FIN00230,Yusuf,Howard,1997-01-03,H,9250,N,Paid,Inactive,2025/26
FIN00231,Laura,Wong,1999-04-18,O,24000,N,Paid,Enrolled,2025/26
FIN00232,Cerys,Ricci,2003-12-21,H,9250,N,Partial,Deferred,2025/26
FIN00233,Poppy,Mahmood,2002-04-23,H,9250,N,Paid,Enrolled,2025/26
FIN00234,Eleanor,Evans,2003-04-26,O,21000,N,Paid,Enrolled,2025/26
FIN00235,Niamh,McCarthy,1990-07-11,H,9250,N,Paid,Enrolled,2025/26
FIN00236,Olivia,Howard,1999-06-06,O,15000,Y,Paid,Enrolled,2025/26
FIN00237,Aoife,Mensah,1993-06-05,O,21000,N,Paid,Enrolled,2025/26
FIN00238,Abigail,Hassan,1995-04-14,O,15000,N,Paid,Enrolled,2025/26
FIN00239,Kai,Edwards,1992-12-29,H,9250,N,Outstanding,Enrolled,2025/26
FIN00240,Amber,Robinson,2000-04-27,H,9250,Y,Paid,Enrolled,2025/26
FIN00241,Roisin,Diallo,2006-04-05,H,9250,N,Paid,Enrolled,2025/26
FIN00242,Omar,Jackson,1993-03-29,H,9250,Y,Paid,Enrolled,2025/26
FIN00243,Layla,O'Brien,1994-12-08,H,9250,N,Paid,Enrolled,2025/26
FIN00244,Benjamin,Singh,2004-08-30,H,9250,N,Paid,Enrolled,2025/26
FIN00245,Toby,Ndiaye,2000-08-17,O,24000,N,Paid,Enrolled,2025/26
FIN00246,Laura,Okafor,1992-09-02,H,9250,N,Partial,Enrolled,2025/26
FIN00247,Jacob,Singh,2000-02-06,H,9250,N,Paid,Enrolled,2025/26
FIN00248,Niall,Omar,2004-01-05,H,9250,N,Outstanding,Enrolled,2025/26
FIN00249,Jacob,Price,2001-04-10,H,9250,N,Outstanding,Enrolled,2025/26
FIN00250,Callum,Kumar,2002-12-29,H,9250,Y,Partial,Inactive,2025/26
FIN00251,Poppy,Yusuf,1990-08-09,H,9250,N,Outstanding,Enrolled,2025/26
FIN00252,Charlie,Harris,1993-05-26,O,21000,N,Outstanding,Enrolled,2025/26
FIN00253,Claudia,Warsame,1993-11-03,H,9250,N,Partial,Enrolled,2025/26
FIN00254,Hassan,Walker,1995-02-11,H,9250,N,Paid,Inactive,2025/26
FIN00255,Cian,Eriksson,2000-07-29,O,24000,Y,Outstanding,Enrolled,2025/26
FIN00256,Daniel,Yip,2005-03-27,O,24000,N,Partial,Deferred,2025/26
FIN00257,Jacob,Chan,2002-11-09,H,9250,N,Paid,Enrolled,2025/26
FIN00258,Miriam,Murray,1991-04-09,O,21000,N,Paid,Enrolled,2025/26
FIN00259,Sophia,Rahman,1990-10-22,O,24000,N,Paid,Enrolled,2025/26
FIN00260,Samuel,Bianchi,2005-11-21,H,9250,N,Paid,Enrolled,2025/26
FIN00261,Alfie,Mahmood,2007-11-13,H,9250,N,Paid,Enrolled,2025/26
FIN00262,Ella,Islam,2007-02-10,H,9250,N,Paid,Enrolled,2025/26
FIN00263,Owen,Walsh,1999-08-11,H,9250,N,Paid,Enrolled,2025/26
FIN00264,Finn,James,1997-02-04,H,9250,N,Partial,Enrolled,2025/26
FIN00265,Edward,Howard,1996-02-13,H,9250,N,Paid,Enrolled,2025/26
FIN00266,Harriet,Johnson,2007-12-07,O,24000,N,Partial,Enrolled,2025/26
FIN00267,Isabella,Price,2006-01-09,H,9250,Y,Partial,Enrolled,2025/26
FIN00268,Sophia,Martin,2002-02-28,O,15000,N,Paid,Enrolled,2025/26
FIN00269,Ellis,Brady,2004-01-30,H,9250,N,Paid,Enrolled,2025/26
FIN00270,Aiden,Kim,2004-04-21,O,18000,N,Partial,Enrolled,2025/26
FIN00271,Priya,Warsame,2000-01-19,H,9250,N,Paid,Enrolled,2025/26
FIN00272,Abigail,Larsen,1991-04-01,O,15000,N,Paid,Enrolled,2025/26
FIN00273,Rebecca,Thomas,2005-01-19,O,15000,N,Outstanding,Enrolled,2025/26
FIN00274,Priya,Conti,2002-05-21,H,9250,Y,Paid,Enrolled,2025/26
FIN00275,Owen,Collins,1996-04-17,H,9250,N,Paid,Enrolled,2025/26
FIN00276,Abigail,Warsame,2000-06-14,H,9250,N,Paid,Inactive,2025/26
FIN00277,Max,Mohamed,2000-01-07,H,9250,N,Partial,Enrolled,2025/26
FIN00278,Alice,Wilson,2003-01-11,H,9250,N,Paid,Enrolled,2025/26
FIN00279,Dominic,Kaur,1997-03-30,H,9250,N,Paid,Inactive,2025/26
FIN00280,Pippa,Mahmood,2005-10-10,O,18000,N,Paid,Enrolled,2025/26
FIN00281,Priya,Asante,1995-10-27,H,9250,N,Paid,Inactive,2025/26
FIN00282,Grace,Kaur,1991-08-02,H,9250,N,Partial,Enrolled,2025/26
FIN00283,Amelia,Harris,2004-01-25,H,9250,N,Outstanding,Enrolled,2025/26
FIN00284,Kai,Islam,2007-09-29,H,9250,N,Partial,Enrolled,2025/26
FIN00285,Freya,Park,1999-12-26,O,21000,N,Paid,Inactive,2025/26
FIN00286,Freddie,Taylor,1999-06-09,H,9250,Y,Paid,Enrolled,2025/26
FIN00287,Rhys,James,2001-02-18,O,18000,N,Outstanding,Enrolled,2025/26
FIN00288,Nathan,Reid,1997-01-15,H,9250,N,Paid,Enrolled,2025/26
FIN00289,Hassan,Thompson,1997-01-15,O,21000,N,Partial,Enrolled,2025/26
FIN00290,Abigail,Mitchell,1994-07-18,H,9250,Y,Paid,Enrolled,2025/26
FIN00291,Ethan,Hughes,2003-04-23,H,9250,N,Paid,Enrolled,2025/26
FIN00292,Marcus,Lee,2001-10-09,O,18000,N,Paid,Enrolled,2025/26
FIN00293,Alfie,Omar,1991-09-27,H,9250,N,Partial,Enrolled,2025/26
FIN00294,Harriet,Lee,2002-03-20,H,9250,N,Paid,Inactive,2025/26
FIN00295,Seren,Warsame,2002-02-17,H,9250,Y,Partial,Enrolled,2025/26
FIN00296,Amber,Hussain,2004-01-02,H,9250,N,Paid,Enrolled,2025/26
FIN00297,Hannah,McCarthy,2005-05-17,H,9250,N,Outstanding,Enrolled,2025/26
FIN00298,Rohan,Ali,1990-11-22,H,9250,N,Outstanding,Enrolled,2025/26
FIN00299,Niall,Mahmood,2000-02-24,H,9250,Y,Paid,Enrolled,2025/26
FIN00300,Ellie,Kaur,2006-10-19,H,9250,Y,Paid,Enrolled,2025/26
FIN00301,Cian,Ndiaye,1994-09-18,H,9250,N,Paid,Enrolled,2025/26
FIN00302,Oliver,Hughes,2000-05-19,H,9250,N,Paid,Enrolled,2025/26
FIN00303,Dominic,Richardson,2001-07-14,H,9250,N,Paid,Enrolled,2025/26
FIN00304,Sophie,Price,1991-06-28,H,9250,N,Paid,Enrolled,2025/26
FIN00305,Millie,Flynn,1997-11-29,O,18000,N,Paid,Enrolled,2025/26
FIN00306,Sebastian,Mensah,2003-01-30,H,9250,N,Paid,Enrolled,2025/26
FIN00307,Evie,Clarke,1991-06-15,H,9250,N,Paid,Enrolled,2025/26
FIN00308,Sophie,Brooks,1997-03-09,O,18000,Y,Outstanding,Enrolled,2025/26
FIN00309,Layla,Martin,2001-01-30,O,9250,N,Paid,Enrolled,2025/26
FIN00310,Molly,Doherty,2003-07-07,H,9250,N,Paid,Enrolled,2025/26
FIN00311,Amber,Shaw,1991-04-21,H,9250,Y,Paid,Enrolled,2025/26
