lms_id,username,programme,modules_enrolled,last_login_date,account_status
s00029,lromano9494861@university.ac.uk,Computer Science BSc,4,2026-04-24,Active
s00030,lkumar2717251@university.ac.uk,MBA,7,2026-04-09,Active
s00031,kreid6193939@university.ac.uk,Data Science MSc,6,2026-04-04,Active
s00032,womar9749790@university.ac.uk,English Literature BA,5,2026-04-23,
s00033,lpatel5970456@university.ac.uk,English Literature BA,6,2026-04-08,Active
s00034,nkumar5600233@university.ac.uk,MBA,7,2026-04-17,Active
s00035,fwhite3936578@university.ac.uk,Data Science MSc,8,2026-04-23,Active
s00036,lislam4576692@university.ac.uk,MBA,8,,Inactive
s00037,nevans5427664@university.ac.uk,English Literature BA,7,2026-04-13,Active
s00038,sprice3788951@university.ac.uk,Mathematics BSc,5,2026-04-23,Active
s00040,khussein3475645@university.ac.uk,English Literature BA,8,2026-04-09,Active
s00041,rnielsen4604668@university.ac.uk,Business Management BSc,5,2026-04-05,
s00042,ewarsame9937442@university.ac.uk,Computer Science BSc,4,2026-04-06,Active
s00043,nwalker4387423@university.ac.uk,Business Management BSc,6,2026-04-29,Active
s00044,scox7948020@university.ac.uk,Mathematics BSc,4,2026-04-08,Active
s00045,jreid9122119@university.ac.uk,Data Science MSc,8,2026-04-20,Active
s00046,yevans2030433@university.ac.uk,Business Management BSc,8,2026-04-18,Active
s00047,cgraham1064198@university.ac.uk,History BA,5,2026-04-16,Active
s00048,akumar4276389@university.ac.uk,Civil Engineering MEng,8,2026-04-24,Active
s00049,iibrahim7961120@university.ac.uk,English Literature BA,5,2026-04-02,Active
s00050,kross1350120@university.ac.uk,Data Science MSc,7,2026-04-14,Active
s00051,tmohamed5233432@university.ac.uk,Nursing BSc,8,2026-04-22,Active
s00052,spetersen3835207@university.ac.uk,Computer Science BSc,7,2026-04-22,Active
s00053,labdi7358772@university.ac.uk,Civil Engineering MEng,7,2026-04-26,Active
s00054,fkaur1950125@university.ac.uk,History BA,6,2026-04-06,Active
s00055,froberts6514565@university.ac.uk,Psychology (BSc),5,2026-04-17,Active
s00056,pdoherty1625634@university.ac.uk,Mathematics BSc,7,2026-04-16,Active
s00057,pcox7156919@university.ac.uk,MBA,6,2026-04-05,Active
s00058,jstewart8880557@university.ac.uk,Civil Engineering MEng,8,2026-04-24,Active
s00059,ddiallo3781041@university.ac.uk,Data Science MSc,8,2026-04-24,Active
s00060,jng6529879@university.ac.uk,Data Science MSc,7,2026-04-24,Active
s00061,lmurphy2411327@university.ac.uk,Data Science MSc,8,2026-04-26,Active
s00062,rkim7846630@university.ac.uk,Computer Science BSc,5,2026-04-20,Active
s00063,tdavies9414544@university.ac.uk,Business Management BSc,8,2026-04-24,Active
s00065,mabdi5588168@university.ac.uk,Psychology (BSc),4,,Inactive
s00066,rndiaye5331547@university.ac.uk,MBA,8,2026-04-02,Active
s00067,hkim8611648@university.ac.uk,Data Science MSc,7,2026-04-27,Active
s00068,dthomas5192091@university.ac.uk,MBA,6,,Inactive
s00069,vstewart2262986@university.ac.uk,Nursing BSc,5,2026-03-18,
s00070,njames5199089@university.ac.uk,Computer Science BSc,5,2026-05-01,Active
s00071,mahmed8064969@university.ac.uk,Data Science MSc,6,2026-04-25,Active
s00072,smitchell3803225@university.ac.uk,Nursing BSc,5,2026-04-17,Active
s00073,cwarsame6835041@university.ac.uk,Psychology (BSc),7,2026-04-26,Active
s00074,pchan9373639@university.ac.uk,Psychology (BSc),7,2026-04-10,Active
s00076,ejones1903628@university.ac.uk,History BA,6,,Inactive
s00077,pwalker8206879@university.ac.uk,English Literature BA,7,2026-04-05,Active
s00078,cjackson6385435@university.ac.uk,Business Management BSc,4,2026-04-06,Active
s00079,tbianchi8040319@university.ac.uk,MBA,7,2026-04-08,Active
s00080,eromano5085382@university.ac.uk,Mathematics BSc,5,2026-04-01,Active
s00081,no'brien3917230@university.ac.uk,Psychology (BSc),6,2026-04-23,Active
s00082,pward1521383@university.ac.uk,Mathematics BSc,4,2026-04-14,Active
s00083,nwilson1415461@university.ac.uk,Computer Science BSc,7,2026-04-15,Active
s00084,ctaylor4636535@university.ac.uk,Civil Engineering MEng,4,2026-04-22,Active
s00085,mng8612117@university.ac.uk,Data Science MSc,8,2026-04-28,Active
s00086,kali5920335@university.ac.uk,Computer Science BSc,8,,Inactive
s00087,jandersson6944816@university.ac.uk,Psychology (BSc),4,2026-04-23,Active
s00088,slam3406681@university.ac.uk,Nursing BSc,8,2026-04-18,Active
s00089,mreid2022629@university.ac.uk,MBA,8,2026-04-12,
s00090,htaylor2680960@university.ac.uk,Mathematics BSc,8,2026-03-24,Active
s00091,rsharma5664687@university.ac.uk,English Literature BA,6,2026-04-01,Active
s00092,amahmood9249530@university.ac.uk,Civil Engineering MEng,6,2026-04-23,
s00093,rjames1836179@university.ac.uk,History BA,8,2026-04-19,Active
s00094,cmensah2339648@university.ac.uk,Computer Science BSc,5,2026-04-12,Active
s00095,yflynn6796201@university.ac.uk,History BA,8,2026-04-27,Active
s00097,mgraham9532268@university.ac.uk,Mathematics BSc,8,2026-04-19,Active
s00098,mbrady4629339@university.ac.uk,Data Science MSc,8,2026-03-30,Active
s00099,cshaw3355734@university.ac.uk,Nursing BSc,5,2026-04-09,Active
s00100,trichardson1534545@university.ac.uk,Nursing BSc,5,2026-04-23,Active
s00101,creid3836730@university.ac.uk,Business Management BSc,8,2026-04-09,
s00102,eevans3729557@university.ac.uk,English Literature BA,7,2026-03-21,Active
s00103,lmensah8703600@university.ac.uk,Psychology (BSc),4,2026-04-27,Active
s00104,hlam2360455@university.ac.uk,Psychology (BSc),6,2026-04-19,Active
s00105,ro'sullivan8374928@university.ac.uk,Mathematics BSc,4,2026-04-11,Active
s00106,ethompson3831844@university.ac.uk,Computer Science BSc,6,2026-04-01,Active
s00107,amohamed6107709@university.ac.uk,MBA,4,2026-04-06,Active
s00108,nshah5282304@university.ac.uk,Psychology (BSc),5,,Inactive
s00109,vcosta3570437@university.ac.uk,Psychology (BSc),8,2026-04-05,Active
s00110,clee3274680@university.ac.uk,Computer Science BSc,6,2026-04-01,Active
s00111,bkaur4991236@university.ac.uk,English Literature BA,8,2026-04-27,Active
s00112,ocosta3153762@university.ac.uk,Civil Engineering MEng,8,2026-04-05,Active
s00114,rbrown5082707@university.ac.uk,Data Science MSc,5,2026-04-04,Active
s00115,tsvensson7188878@university.ac.uk,Data Science MSc,6,2026-04-14,Active
s00116,zconti3845798@university.ac.uk,Data Science MSc,7,2026-04-01,Active
s00117,hmurphy8511645@university.ac.uk,Computer Science BSc,5,2026-04-03,Active
s00118,jgreco2110903@university.ac.uk,Data Science MSc,8,2026-04-13,Active
s00119,abianchi7463523@university.ac.uk,Mathematics BSc,6,,Inactive
s00120,dwalsh1594722@university.ac.uk,Business Management BSc,5,2026-04-11,Active
s00121,pchan1856102@university.ac.uk,Computer Science BSc,5,2026-04-07,Active
s00122,jthomas6792471@university.ac.uk,Computer Science BSc,7,2026-04-23,Active
s00123,aharris4567453@university.ac.uk,Nursing BSc,4,2026-03-02,Active
s00124,hjama4198396@university.ac.uk,Data Science MSc,6,2026-04-24,Active
s00125,jdiallo1954287@university.ac.uk,History BA,6,2026-04-15,Active
s00126,ncampbell1295236@university.ac.uk,Civil Engineering MEng,6,2026-04-09,Active
s00127,sjames7092569@university.ac.uk,Business Management BSc,6,2026-04-27,Active
s00128,dlarsen6764784@university.ac.uk,Computer Science BSc,4,2026-04-30,Active
s00129,nromano7700651@university.ac.uk,Business Management BSc,5,2026-04-24,Active
s00130,nshah4926737@university.ac.uk,Computer Science BSc,5,2026-04-01,Active
s00131,lgreco1943010@university.ac.uk,English Literature BA,4,2026-04-03,Active
s00132,jricci4035017@university.ac.uk,Nursing BSc,5,2026-04-03,Active
s00133,dnielsen4166359@university.ac.uk,Mathematics BSc,4,2026-04-27,Active
s00134,nward9866179@university.ac.uk,English Literature BA,4,,Inactive
s00135,cjackson6350173@university.ac.uk,MBA,5,2026-04-09,Active
s00136,jjackson1546308@university.ac.uk,Data Science MSc,5,2026-04-14,Active
s00137,ccosta3247600@university.ac.uk,MBA,4,2026-04-27,Active
s00139,hkhan1075860@university.ac.uk,History BA,7,2026-04-02,Active
s00140,hlewis2191893@university.ac.uk,Mathematics BSc,8,2026-04-02,Active
s00141,yflynn1014922@university.ac.uk,English Literature BA,6,2026-04-23,Active
s00142,pross6584396@university.ac.uk,Business Management BSc,4,2026-04-25,Active
s00143,icooper8306295@university.ac.uk,Business Management BSc,5,2026-04-22,Active
s00145,isingh8663177@university.ac.uk,Computer Science BSc,4,2026-04-27,Active
s00146,mdavies9982129@university.ac.uk,Business Management BSc,5,2026-04-24,Active
s00147,mdavies1822989@university.ac.uk,Data Science MSc,4,2026-04-21,Active
s00148,ohoward8266711@university.ac.uk,History BA,5,2026-04-15,Active
s00149,ajones3417512@university.ac.uk,Nursing BSc,7,2026-04-12,Active
s00150,rwatson6265917@university.ac.uk,Data Science MSc,8,2026-04-28,Active
s00151,eahmed3936300@university.ac.uk,History BA,5,2026-04-18,Active
s00152,eislam2503567@university.ac.uk,Civil Engineering MEng,7,,Inactive
s00153,iwalsh9512392@university.ac.uk,Data Science MSc,8,2026-04-21,Active
s00154,mahmed8444851@university.ac.uk,Nursing BSc,5,2026-04-26,Active
s00156,nmensah8380796@university.ac.uk,Psychology (BSc),6,2026-04-27,Active
s00157,ediallo4533148@university.ac.uk,Computer Science BSc,4,2026-04-15,Active
s00158,lmohamed5437191@university.ac.uk,Civil Engineering MEng,4,2026-04-12,Active
s00160,nbegum3662654@university.ac.uk,Mathematics BSc,4,2026-04-22,Active
s00161,pmurphy3364909@university.ac.uk,Mathematics BSc,5,2026-04-13,Active
s00162,fwalsh1836892@university.ac.uk,Civil Engineering MEng,6,2026-04-07,Active
s00163,sedwards4630630@university.ac.uk,Data Science MSc,6,2026-04-27,Active
s00164,cfarah9046236@university.ac.uk,English Literature BA,6,2026-04-17,Active
s00165,lpatel9288658@university.ac.uk,English Literature BA,8,2026-04-26,Active
s00166,asmith1615852@university.ac.uk,Computer Science BSc,5,,Inactive
s00167,cthomas5176901@university.ac.uk,Data Science MSc,7,2026-04-24,Active
s00169,abah3457737@university.ac.uk,Business Management BSc,8,2026-04-12,Active
s00170,ebrown7009369@university.ac.uk,Mathematics BSc,5,2026-04-13,Active
s00171,zmorgan2489742@university.ac.uk,Data Science MSc,6,2026-04-28,Active
s00172,hgreco8984006@university.ac.uk,Data Science MSc,5,2026-04-19,Active
s00173,lkim1177215@university.ac.uk,Business Management BSc,6,2026-04-16,Active
s00174,sokafor8952732@university.ac.uk,Business Management BSc,7,2026-04-07,Active
s00175,othomas7895636@university.ac.uk,History BA,6,2026-04-27,Active
s00176,gsingh8408257@university.ac.uk,Psychology (BSc),8,2026-04-23,Active
s00177,jkumar8703205@university.ac.uk,Computer Science BSc,5,2026-04-05,Active
s00178,lfarah6882178@university.ac.uk,Mathematics BSc,4,2026-04-23,Active
s00179,aclarke7167090@university.ac.uk,Business Management BSc,6,2026-04-03,Active
s00180,gwarsame9374691@university.ac.uk,English Literature BA,6,2026-04-19,Active
s00181,cberg8798180@university.ac.uk,Civil Engineering MEng,4,2026-05-01,Active
s00182,fwong1021092@university.ac.uk,English Literature BA,8,2026-04-30,Active
s00183,mwood6232215@university.ac.uk,History BA,7,2026-04-22,Active
s00184,ojohnson9824978@university.ac.uk,History BA,7,2026-04-30,Active
s00185,rsvensson5046450@university.ac.uk,Business Management BSc,8,2026-04-22,Active
s00186,ogupta3833898@university.ac.uk,History BA,5,2026-04-20,Active
s00187,lowusu2587039@university.ac.uk,Nursing BSc,7,2026-04-02,Active
s00188,nyusuf7098551@university.ac.uk,MBA,8,2026-03-11,Active
s00189,ebrooks8123080@university.ac.uk,Data Science MSc,6,2026-04-15,Active
s00190,hflynn4206868@university.ac.uk,Data Science MSc,4,2026-04-12,Active
s00191,dgreco3337907@university.ac.uk,Business Management BSc,5,,Inactive
s00192,ireid5190197@university.ac.uk,History BA,5,2026-04-06,Active
s00193,rndiaye8467949@university.ac.uk,Civil Engineering MEng,6,2026-04-12,Active
s00194,bpark5085438@university.ac.uk,Nursing BSc,7,,Inactive
s00197,ao'brien2113791@university.ac.uk,Nursing BSc,5,,Inactive
s00198,lmurphy3947475@university.ac.uk,Psychology (BSc),4,2026-04-13,Active
s00200,ryusuf7808875@university.ac.uk,Data Science MSc,6,,Inactive
s00201,zasante8321596@university.ac.uk,Psychology (BSc),5,2026-04-18,Active
s00203,ojames3508702@university.ac.uk,Mathematics BSc,6,2026-04-22,Active
s00204,jandersson7508007@university.ac.uk,Business Management BSc,7,2026-04-17,Active
s00205,csvensson1663762@university.ac.uk,Civil Engineering MEng,8,2026-05-01,Active
s00206,kshaw9102116@university.ac.uk,Nursing BSc,6,2026-04-12,Active
s00207,sho3819926@university.ac.uk,Mathematics BSc,7,2026-04-14,Active
s00208,hharris7306278@university.ac.uk,Computer Science BSc,5,2026-04-29,Active
s00209,csvensson4179520@university.ac.uk,Computer Science BSc,5,2026-04-05,Active
s00210,blindqvist2933370@university.ac.uk,Psychology (BSc),7,2026-04-04,Active
s00211,rtoure1990195@university.ac.uk,Civil Engineering MEng,5,2026-04-16,Active
s00212,aromano8097573@university.ac.uk,Data Science MSc,5,2026-04-30,Active
s00213,jmccarthy9418623@university.ac.uk,History BA,5,2026-04-24,Active
s00214,elam3088737@university.ac.uk,History BA,7,,Inactive
s00215,slindqvist6435300@university.ac.uk,Mathematics BSc,7,2026-04-17,Active
s00216,rcooper6214152@university.ac.uk,Civil Engineering MEng,6,2026-04-23,Active
s00217,vowusu5201345@university.ac.uk,Civil Engineering MEng,4,2026-04-12,Active
s00218,ddoherty5799685@university.ac.uk,Computer Science BSc,8,2026-05-01,Active
s00219,gconti5698529@university.ac.uk,Data Science MSc,5,2026-04-28,Active
s00221,oprice5457527@university.ac.uk,Data Science MSc,4,2026-04-09,Active
s00222,csingh6880395@university.ac.uk,English Literature BA,4,2026-04-21,Active
s00223,masante3396367@university.ac.uk,Civil Engineering MEng,7,2026-04-05,Active
s00224,awilliams4243076@university.ac.uk,Business Management BSc,7,2026-04-02,Active
s00225,lkaur8392786@university.ac.uk,MBA,4,2026-04-02,Active
s00226,ikim8207795@university.ac.uk,Civil Engineering MEng,7,2026-04-30,Active
s00227,mward6130997@university.ac.uk,Mathematics BSc,6,2026-04-06,Active
s00228,sjames7564817@university.ac.uk,Business Management BSc,6,2026-04-10,Active
s00229,ong4809170@university.ac.uk,Mathematics BSc,8,2026-04-03,Active
s00231,lwong2787736@university.ac.uk,MBA,8,2026-04-09,Active
s00233,pmahmood9316260@university.ac.uk,Computer Science BSc,8,2026-04-18,Active
s00234,eevans2988477@university.ac.uk,Civil Engineering MEng,5,2026-04-06,
s00235,nmccarthy3370009@university.ac.uk,Computer Science BSc,6,2026-04-09,Active
s00236,ohoward6862032@university.ac.uk,History BA,5,2026-04-03,Active
s00237,amensah2815728@university.ac.uk,Mathematics BSc,6,2026-04-27,Active
s00238,ahassan7588162@university.ac.uk,English Literature BA,4,2026-04-29,Active
s00239,kedwards7290900@university.ac.uk,English Literature BA,5,2026-04-04,Active
s00240,arobinson8140289@university.ac.uk,History BA,8,2026-04-06,Active
s00241,rdiallo6842130@university.ac.uk,Psychology (BSc),6,2026-04-19,Active
s00242,ojackson4840423@university.ac.uk,English Literature BA,8,2026-04-07,Active
s00243,lo'brien6077801@university.ac.uk,Mathematics BSc,7,2026-04-28,
s00244,bsingh5214676@university.ac.uk,English Literature BA,6,2026-04-29,Active
s00245,tndiaye5406836@university.ac.uk,History BA,6,2026-04-17,Active
s00246,lokafor1744845@university.ac.uk,Business Management BSc,8,2026-04-20,Active
s00247,jsingh3545417@university.ac.uk,Computer Science BSc,8,2026-04-06,Active
s00248,nomar4492423@university.ac.uk,Nursing BSc,8,2026-04-03,Active
s00249,jprice1185611@university.ac.uk,Mathematics BSc,6,2026-04-29,Active
s00250,ckumar2968471@university.ac.uk,Computer Science BSc,4,,Inactive
s00251,pyusuf4828004@university.ac.uk,MBA,7,2026-04-06,Active
s00252,charris3762776@university.ac.uk,Data Science MSc,8,2026-04-19,Active
s00253,cwarsame9211743@university.ac.uk,English Literature BA,4,2026-04-09,Active
s00254,hwalker1214208@university.ac.uk,English Literature BA,8,2026-03-20,Active
s00255,ceriksson9413198@university.ac.uk,Psychology (BSc),6,2026-04-24,Active
s00257,jchan4617900@university.ac.uk,Data Science MSc,4,2026-04-24,Active
s00258,mmurray1610321@university.ac.uk,English Literature BA,6,2026-04-07,Active
s00259,srahman1767298@university.ac.uk,MBA,5,2026-05-01,Active
s00260,sbianchi8493519@university.ac.uk,Psychology (BSc),8,2026-04-16,Active
s00261,amahmood2355101@university.ac.uk,Computer Science BSc,7,2026-04-25,Active
s00262,eislam5844746@university.ac.uk,Psychology (BSc),4,2026-04-22,Active
s00263,owalsh3489073@university.ac.uk,Computer Science BSc,5,2026-04-03,Active
s00264,fjames5961082@university.ac.uk,Civil Engineering MEng,8,2026-04-27,Active
s00265,ehoward6133269@university.ac.uk,Civil Engineering MEng,5,2026-04-27,Active
s00266,hjohnson8661610@university.ac.uk,History BA,4,2026-04-20,Active
s00267,iprice7581724@university.ac.uk,Mathematics BSc,7,2026-04-07,Active
s00268,smartin2643979@university.ac.uk,Psychology (BSc),4,2026-04-02,Active
s00269,ebrady8683334@university.ac.uk,History BA,7,2026-04-24,Active
s00270,akim8810891@university.ac.uk,Psychology (BSc),6,2026-04-18,Active
s00271,pwarsame1363900@university.ac.uk,English Literature BA,8,2026-04-23,Active
s00272,alarsen5293199@university.ac.uk,Nursing BSc,5,2026-04-27,Active
s00273,rthomas6364178@university.ac.uk,Psychology (BSc),6,2026-04-08,Active
s00274,pconti9941772@university.ac.uk,English Literature BA,8,2026-05-01,Active
s00275,ocollins8041006@university.ac.uk,Data Science MSc,5,2026-04-06,Active
s00276,awarsame7209329@university.ac.uk,Civil Engineering MEng,6,2026-04-20,Active
s00277,mmohamed3978497@university.ac.uk,History BA,8,2026-04-17,Active
s00278,awilson5318391@university.ac.uk,Nursing BSc,8,2026-04-25,Active
s00279,dkaur5234944@university.ac.uk,MBA,6,2026-03-10,Active
s00280,pmahmood7480126@university.ac.uk,Civil Engineering MEng,4,2026-04-18,Active
s00281,pasante1905352@university.ac.uk,History BA,7,2026-03-02,Active
s00282,gkaur3396446@university.ac.uk,Nursing BSc,7,2026-04-05,Active
s00283,aharris7752559@university.ac.uk,MBA,4,2026-04-24,Active
s00284,kislam1476939@university.ac.uk,Business Management BSc,8,2026-04-15,Active
s00285,fpark4463327@university.ac.uk,English Literature BA,5,,Inactive
s00286,ftaylor1126292@university.ac.uk,Business Management BSc,4,2026-04-21,Active
s00287,rjames5524869@university.ac.uk,English Literature BA,8,2026-04-18,Active
s00288,nreid9836320@university.ac.uk,Computer Science BSc,6,2026-04-18,Active
s00289,hthompson3811328@university.ac.uk,Mathematics BSc,6,2026-04-13,Active
s00290,amitchell2462430@university.ac.uk,Nursing BSc,8,2026-04-16,Active
s00291,ehughes4233283@university.ac.uk,Business Management BSc,6,2026-04-10,Active
s00292,mlee4423309@university.ac.uk,Mathematics BSc,7,2026-04-15,Active
s00293,aomar5202714@university.ac.uk,Nursing BSc,4,2026-04-23,Active
s00294,hlee8959915@university.ac.uk,History BA,7,,Inactive
s00295,swarsame1074717@university.ac.uk,Computer Science BSc,8,2026-04-08,Active
s00296,ahussain5745132@university.ac.uk,History BA,4,2026-04-15,Active
s00297,hmccarthy9024858@university.ac.uk,English Literature BA,6,2026-04-25,
s00298,rali5666036@university.ac.uk,Mathematics BSc,4,2026-04-18,Active
s00299,nmahmood5064726@university.ac.uk,Nursing BSc,4,2026-04-24,Active
s00300,ekaur6092001@university.ac.uk,Psychology (BSc),6,2026-05-01,Active
s00301,cndiaye2901262@university.ac.uk,Mathematics BSc,5,2026-04-02,Active
s00302,ohughes9539455@university.ac.uk,Data Science MSc,6,2026-04-30,Active
s00303,drichardson8929754@university.ac.uk,MBA,7,2026-05-01,Active
s00304,sprice5290055@university.ac.uk,Business Management BSc,5,2026-04-21,Active
s00305,mflynn8530176@university.ac.uk,Nursing BSc,7,2026-04-13,Active
s00306,smensah5626499@university.ac.uk,Civil Engineering MEng,8,2026-04-29,Active
s00307,eclarke8782633@university.ac.uk,Civil Engineering MEng,7,2026-04-04,Active
s00308,sbrooks5462333@university.ac.uk,MBA,4,2026-04-15,Active
s00309,lmartin3898632@university.ac.uk,English Literature BA,8,2026-04-19,Active
s00310,mdoherty8303480@university.ac.uk,Mathematics BSc,5,2026-04-15,Active
s00311,ashaw8568982@university.ac.uk,Mathematics BSc,7,2026-04-10,Active
s00312,rmccarthy2862034@university.ac.uk,Civil Engineering MEng,8,2026-05-01,Active
s00313,zcampbell5071854@university.ac.uk,Mathematics BSc,7,,Inactive
s00314,rbah4006711@university.ac.uk,MBA,4,2026-04-21,Active
s00315,sjohnson1812634@university.ac.uk,Mathematics BSc,4,2026-04-12,Active
s00317,ojohnson9816958@university.ac.uk,Business Management BSc,5,2026-04-11,Active
s00318,ljohnson5359176@university.ac.uk,Data Science MSc,6,2026-04-18,Active
s00319,cosei2994907@university.ac.uk,Business Management BSc,6,2026-04-12,Active
s00320,lesposito7041304@university.ac.uk,Data Science MSc,4,2026-04-19,Active
s00321,rjones8999883@university.ac.uk,Psychology (BSc),8,2026-04-13,Active
s00322,rharris2271425@university.ac.uk,Business Management BSc,5,2026-04-18,Active
s00323,iyip9627012@university.ac.uk,MBA,7,2026-04-04,Active
s00324,obegum4709082@university.ac.uk,Computer Science BSc,7,2026-04-27,Active
s00325,fwong6147834@university.ac.uk,Psychology (BSc),8,2026-04-01,Active
s00326,ahussein3834129@university.ac.uk,Data Science MSc,6,2026-04-09,Active
s00327,slewis6116350@university.ac.uk,Data Science MSc,4,2026-04-29,Active
s00328,djama2496713@university.ac.uk,Psychology (BSc),4,2026-04-29,Active
s00329,cosei2153726@university.ac.uk,Data Science MSc,5,2026-03-12,
s00330,rowusu1761655@university.ac.uk,Nursing BSc,4,2026-04-17,Active
s00331,oeriksson7274006@university.ac.uk,Computer Science BSc,6,2026-04-07,Active
s00332,hhansen9911364@university.ac.uk,MBA,6,2026-04-27,Active
s00333,gharris9987244@university.ac.uk,Nursing BSc,8,,Inactive
s00334,mevans3981224@university.ac.uk,Data Science MSc,5,2026-04-10,Active
s00335,msmith9551564@university.ac.uk,Business Management BSc,5,2026-04-09,Active
s00336,epark8937134@university.ac.uk,Nursing BSc,4,2026-04-21,Active
s00337,jhall3369652@university.ac.uk,Business Management BSc,7,,Inactive
s00338,lbrown5348358@university.ac.uk,Psychology (BSc),5,2026-04-05,Active
s00339,awatson1295108@university.ac.uk,Mathematics BSc,4,2026-04-28,Active
s00340,acox7818052@university.ac.uk,History BA,7,,Inactive
s00341,ndiop6807386@university.ac.uk,Data Science MSc,4,2026-04-21,Active
s00343,jberg7575065@university.ac.uk,Computer Science BSc,8,2026-04-16,Active
s00344,ilindqvist7836343@university.ac.uk,Business Management BSc,5,2026-04-18,Active
s00345,lfarah9181822@university.ac.uk,Nursing BSc,4,2026-04-22,Active
s00346,rdiallo7839687@university.ac.uk,History BA,8,2026-04-24,Active
s00347,deriksson5893576@university.ac.uk,English Literature BA,4,2026-04-21,Active
s00348,sstewart1440173@university.ac.uk,Data Science MSc,6,2026-04-20,Active
s00349,lsvensson4678018@university.ac.uk,History BA,4,2026-04-22,Active
s00350,rryan1246923@university.ac.uk,Nursing BSc,6,2026-04-04,Active
s00351,llewis2222814@university.ac.uk,Nursing BSc,5,2026-04-17,Active
s00352,odavies4043039@university.ac.uk,Computer Science BSc,4,2026-04-19,Active
s00353,dclarke8261107@university.ac.uk,Civil Engineering MEng,8,2026-04-02,Active
s00354,ghussein7823572@university.ac.uk,MBA,5,,Inactive
s00355,smitchell1255317@university.ac.uk,English Literature BA,5,2026-04-08,Active
s00356,jjames2853383@university.ac.uk,History BA,6,2026-04-23,Active
s00357,gwalker9477240@university.ac.uk,MBA,5,2026-04-06,Active
s00358,fbrown4546019@university.ac.uk,English Literature BA,4,2026-04-01,Active
s00359,ro'sullivan5398627@university.ac.uk,Civil Engineering MEng,4,2026-05-01,Active
s00360,djohnson6083194@university.ac.uk,History BA,6,2026-04-11,Active
s00361,mdavies1992349@university.ac.uk,English Literature BA,4,2026-04-29,
s00362,dflynn4381308@university.ac.uk,MBA,6,2026-04-11,Active
s00363,wsmith3717119@university.ac.uk,Business Management BSc,7,2026-04-29,Active
s00364,ndiallo6952449@university.ac.uk,Nursing BSc,6,2026-04-18,Active
s00365,gwarsame2165275@university.ac.uk,Mathematics BSc,8,2026-04-25,Active
s00366,iahmed5761019@university.ac.uk,Psychology (BSc),8,2026-04-06,Active
s00367,sosei7110357@university.ac.uk,Data Science MSc,4,2026-04-30,
s00369,khussein1485843@university.ac.uk,History BA,7,,Inactive
s00370,mhussain3257722@university.ac.uk,History BA,8,,Inactive
s00371,rdiallo1955714@university.ac.uk,English Literature BA,8,2026-04-14,Active
s00372,klee1510211@university.ac.uk,Nursing BSc,8,2026-04-27,Active
s00373,srobinson7154585@university.ac.uk,Civil Engineering MEng,4,2026-04-10,Active
s00374,award5732585@university.ac.uk,Computer Science BSc,5,2026-04-25,Active
s00375,bmccarthy4044002@university.ac.uk,English Literature BA,5,2026-03-15,Active
s00376,ccox5255357@university.ac.uk,Computer Science BSc,5,2026-04-23,Active
s00377,fflynn4988376@university.ac.uk,Psychology (BSc),4,2026-04-20,Active
s00378,rdiop2902881@university.ac.uk,MBA,5,2026-04-12,
s00379,eho1237877@university.ac.uk,English Literature BA,6,2026-04-09,Active
